data_venda,cliente,produto,quantidade,valor
25/08/2025,Arquiteto Marcos Lima,Impermeabilizante 18L,10,700.00
27/08/2025,José Santos,Bloco de Concreto,150,600.00
29/08/2025,Empreiteira Delta,Ferragem CA-50 12mm,250,4750.00
02/09/2025,Construtora Horizonte,Cimento 50kg,100,3000.00
04/09/2025,Engenharia Prática,Ferragem CA-50 12mm,300,5700.00
08/09/2025,Obras & Cia,Piso Cerâmico 60x60,120,2640.00
10/09/2025,Reformas Rápidas,Tinta Látex 18L,25,1750.00
12/09/2025,Casa do Construtor,Cimento 50kg,50,1500.00
16/09/2025,Mega Construções,Ferragem CA-50 12mm,500,9500.00
18/09/2025,Distribuidora Norte,Bloco de Concreto,800,3200.00
22/09/2025,Construtora Alfa Sul,Piso Cerâmico 60x60,200,4400.00
24/09/2025,Arquiteto Marcos Lima,Cimento 50kg,40,1200.00
26/09/2025,José Santos,Tinta Látex 18L,4,280.00
30/09/2025,Deposito Ferreira,Cimento 50kg,200,6000.00
02/10/2025,Construtora Horizonte,Ferragem CA-50 12mm,200,3800.00
06/10/2025,Engenharia Prática,Piso Cerâmico 60x60,250,5500.00
08/10/2025,Obras & Cia,Cimento 50kg,90,2700.00
10/10/2025,Reformas Rápidas,Ferragem CA-50 12mm,80,1520.00
14/10/2025,Mega Construções,Cimento 50kg,600,18000.00
16/10/2025,Construtora Alfa Sul,Ferragem CA-50 12mm,150,2850.00
20/10/2025,Empreiteiro Carlos,Piso Cerâmico 60x60,120,2640.00
22/10/2025,Distribuidora Norte,Tijolo Baiano,2500,2750.00
24/10/2025,Arquiteto Marcos Lima,Telha Cerâmica,200,1600.00
28/10/2025,José Santos,Cimento 50kg,30,900.00
30/10/2025,Empreiteira Delta,Piso Cerâmico 60x60,200,4400.00
03/11/2025,Construtora Horizonte,Piso Cerâmico 60x60,200,4400.00
05/11/2025,Engenharia Prática,Cimento 50kg,250,7500.00
07/11/2025,Obras & Cia,Ferragem CA-50 12mm,100,1900.00
11/11/2025,Reformas Rápidas,Impermeabilizante 18L,15,1050.00
13/11/2025,Mega Construções,Ferragem CA-50 12mm,600,11400.00
17/11/2025,Casa do Construtor,Bloco de Concreto,300,1200.00
21/11/2025,Distribuidora Norte,Bloco de Concreto,1200,4800.00
25/11/2025,Deposito Ferreira,Ferragem CA-50 12mm,150,2850.00
27/11/2025,Arquiteto Marcos Lima,Piso Cerâmico 60x60,100,2200.00
29/11/2025,José Santos,Tinta Látex 18L,5,350.00
02/12/2025,Construtora Horizonte,Cimento 50kg,120,3600.00
04/12/2025,Engenharia Prática,Ferragem CA-50 12mm,350,6650.00
08/12/2025,Obras & Cia,Piso Cerâmico 60x60,160,3520.00
10/12/2025,Reformas Rápidas,Cimento 50kg,80,2400.00
12/12/2025,Construtora Alfa Sul,Piso Cerâmico 60x60,150,3300.00
16/12/2025,Mega Construções,Cimento 50kg,800,24000.00
18/12/2025,Distribuidora Norte,Tijolo Baiano,2000,2200.00
22/12/2025,Empreiteira Delta,Cimento 50kg,200,6000.00
26/12/2025,José Santos,Bloco de Concreto,100,400.00
05/01/2026,Construtora Horizonte,Ferragem CA-50 12mm,250,4750.00
07/01/2026,Engenharia Prática,Piso Cerâmico 60x60,300,6600.00
09/01/2026,Obras & Cia,Cimento 50kg,110,3300.00
13/01/2026,Reformas Rápidas,Ferragem CA-50 12mm,100,1900.00
15/01/2026,Construtora Alfa Sul,Cimento 50kg,130,3900.00
19/01/2026,Mega Construções,Ferragem CA-50 12mm,700,13300.00
21/01/2026,Distribuidora Norte,Bloco de Concreto,900,3600.00
23/01/2026,Deposito Ferreira,Piso Cerâmico 60x60,120,2640.00
27/01/2026,Arquiteto Marcos Lima,Cimento 50kg,50,1500.00
29/01/2026,José Santos,Tinta Látex 18L,6,420.00
02/02/2026,Construtora Horizonte,Piso Cerâmico 60x60,220,4840.00
04/02/2026,Engenharia Prática,Cimento 50kg,300,9000.00
06/02/2026,Obras & Cia,Ferragem CA-50 12mm,130,2470.00
10/02/2026,Reformas Rápidas,Piso Cerâmico 60x60,100,2200.00
12/02/2026,Reformas Express,Tinta Látex 18L,40,2800.00
14/02/2026,Mega Construções,Cimento 50kg,900,27000.00
18/02/2026,Distribuidora Norte,Tijolo Baiano,1800,1980.00
20/02/2026,Empreiteira Delta,Ferragem CA-50 12mm,300,5700.00
22/02/2026,Arquiteto Marcos Lima,Impermeabilizante 18L,15,1050.00
24/02/2026,José Santos,Bloco de Concreto,200,800.00
26/02/2026,Reformas Express,Impermeabilizante 18L,20,1400.00
03/03/2026,Construtora Horizonte,Cimento 50kg,130,3900.00
05/03/2026,Engenharia Prática,Ferragem CA-50 12mm,400,7600.00
09/03/2026,Obras & Cia,Piso Cerâmico 60x60,180,3960.00
11/03/2026,Reformas Rápidas,Cimento 50kg,90,2700.00
13/03/2026,Mega Construções,Ferragem CA-50 12mm,800,15200.00
17/03/2026,Distribuidora Norte,Bloco de Concreto,1100,4400.00
19/03/2026,Deposito Ferreira,Cimento 50kg,250,7500.00
23/03/2026,Arquiteto Marcos Lima,Piso Cerâmico 60x60,80,1760.00
25/03/2026,José Santos,Tinta Látex 18L,5,350.00
27/03/2026,Ana Oliveira,Tinta Látex 18L,10,700.00
31/03/2026,Empreiteira Delta,Piso Cerâmico 60x60,250,5500.00
02/04/2026,Construtora Horizonte,Ferragem CA-50 12mm,280,5320.00
04/04/2026,Engenharia Prática,Piso Cerâmico 60x60,350,7700.00
08/04/2026,Obras & Cia,Cimento 50kg,120,3600.00
10/04/2026,Reformas Rápidas,Tinta Látex 18L,30,2100.00
14/04/2026,Mega Construções,Cimento 50kg,1000,30000.00
16/04/2026,Distribuidora Norte,Tijolo Baiano,3000,3300.00
18/04/2026,Deposito Ferreira,Ferragem CA-50 12mm,200,3800.00
22/04/2026,Arquiteto Marcos Lima,Telha Cerâmica,250,2000.00
24/04/2026,Ana Oliveira,Piso Cerâmico 60x60,50,1100.00
26/04/2026,José Santos,Bloco de Concreto,150,600.00
28/04/2026,Empreiteira Delta,Cimento 50kg,220,6600.00
30/04/2026,Ana Oliveira,Impermeabilizante 18L,8,560.00
